"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4"
"117";"1050010";"1050010";"PV25  ";"2018JJ00";"   905.2";"    29.0";"    26.3"
"118";"1050010";"1050010";"PV25  ";"2019JJ00";"   914.2";"    31.2";"    27.6"
"119";"1050010";"1050010";"PV25  ";"2020JJ00";"   922.3";"    31.7";"    28.8"
"121";"1050010";"1050010";"PV26  ";"2011JJ00";"   555.5";"    27.3";"    24.3"
"122";"1050010";"1050010";"PV26  ";"2012JJ00";"   560.4";"    27.5";"    24.5"
"123";"1050010";"1050010";"PV26  ";"2013JJ00";"   565.6";"    27.7";"    24.7"
"124";"1050010";"1050010";"PV26  ";"2014JJ00";"   569.2";"    29.2";"    25.5"
"125";"1050010";"1050010";"PV26  ";"2015JJ00";"   575.8";"    29.0";"    25.9"
"126";"1050010";"1050010";"PV26  ";"2016JJ00";"   580.9";"    30.2";"    26.9"
"127";"1050010";"1050010";"PV26  ";"2017JJ00";"   586.6";"    31.2";"    27.6"
"128";"1050010";"1050010";"PV26  ";"2018JJ00";"   592.0";"    31.5";"    28.1"
"129";"1050010";"1050010";"PV26  ";"2019JJ00";"   598.2";"    33.9";"    29.6"
"130";"1050010";"1050010";"PV26  ";"2020JJ00";"   604.0";"    34.5";"    30.8"
"132";"1050010";"1050010";"PV27  ";"2011JJ00";"  1249.6";"    26.6";"    23.1"
"133";"1050010";"1050010";"PV27  ";"2012JJ00";"  1261.3";"    26.8";"    23.3"
"134";"1050010";"1050010";"PV27  ";"2013JJ00";"  1271.0";"    27.0";"    23.5"
"135";"1050010";"1050010";"PV27  ";"2014JJ00";"  1280.8";"    28.6";"    24.3"
"136";"1050010";"1050010";"PV27  ";"2015JJ00";"  1296.5";"    28.5";"    24.7"
"137";"1050010";"1050010";"PV27  ";"2016JJ00";"  1309.3";"    29.7";"    25.7"
"138";"1050010";"1050010";"PV27  ";"2017JJ00";"  1321.9";"    30.7";"    26.3"
"139";"1050010";"1050010";"PV27  ";"2018JJ00";"  1332.6";"    31.2";"    26.8"
"140";"1050010";"1050010";"PV27  ";"2019JJ00";"  1343.5";"    33.7";"    28.2"
"141";"1050010";"1050010";"PV27  ";"2020JJ00";"  1355.3";"    34.1";"    29.2"
"143";"1050010";"1050010";"PV28  ";"2011JJ00";"  1570.2";"    25.9";"    22.9"
"144";"1050010";"1050010";"PV28  ";"2012JJ00";"  1585.3";"    26.0";"    23.0"
"145";"1050010";"1050010";"PV28  ";"2013JJ00";"  1595.3";"    26.1";"    23.1"
"146";"1050010";"1050010";"PV28  ";"2014JJ00";"  1599.5";"    27.6";"    23.8"
"147";"1050010";"1050010";"PV28  ";"2015JJ00";"  1616.5";"    27.3";"    24.1"
"148";"1050010";"1050010";"PV28  ";"2016JJ00";"  1629.2";"    28.3";"    25.0"
"149";"1050010";"1050010";"PV28  ";"2017JJ00";"  1644.5";"    29.3";"    25.6"
"150";"1050010";"1050010";"PV28  ";"2018JJ00";"  1661.7";"    29.5";"    26.1"
"151";"1050010";"1050010";"PV28  ";"2019JJ00";"  1675.7";"    31.8";"    27.5"
"152";"1050010";"1050010";"PV28  ";"2020JJ00";"  1691.8";"    32.2";"    28.6"
"154";"1050010";"1050010";"PV29  ";"2011JJ00";"   167.2";"    25.6";"    23.2"
"155";"1050010";"1050010";"PV29  ";"2012JJ00";"   168.4";"    25.8";"    23.5"
"156";"1050010";"1050010";"PV29  ";"2013JJ00";"   169.4";"    26.1";"    23.6"
"157";"1050010";"1050010";"PV29  ";"2014JJ00";"   169.6";"    27.3";"    24.3"
"158";"1050010";"1050010";"PV29  ";"2015JJ00";"   170.1";"    27.2";"    24.7"
"159";"1050010";"1050010";"PV29  ";"2016JJ00";"   170.7";"    28.0";"    25.5"
"160";"1050010";"1050010";"PV29  ";"2017JJ00";"   171.7";"    28.8";"    26.0"
"161";"1050010";"1050010";"PV29  ";"2018JJ00";"   172.7";"    29.0";"    26.4"
"162";"1050010";"1050010";"PV29  ";"2019JJ00";"   173.9";"    30.9";"    27.6"
"163";"1050010";"1050010";"PV29  ";"2020JJ00";"   174.5";"    31.5";"    28.7"
"165";"1050010";"1050010";"PV30  ";"2011JJ00";"  1057.0";"    26.0";"    23.5"
"166";"1050010";"1050010";"PV30  ";"2012JJ00";"  1066.9";"    26.2";"    23.7"
"167";"1050010";"1050010";"PV30  ";"2013JJ00";"  1076.5";"    26.4";"    23.9"
"168";"1050010";"1050010";"PV30  ";"2014JJ00";"  1082.8";"    27.8";"    24.6"
"169";"1050010";"1050010";"PV30  ";"2015JJ00";"  1093.9";"    27.5";"    24.9"
"170";"1050010";"1050010";"PV30  ";"2016JJ00";"  1101.9";"    28.6";"    25.9"
"171";"1050010";"1050010";"PV30  ";"2017JJ00";"  1113.5";"    29.8";"    26.5"
"172";"1050010";"1050010";"PV30  ";"2018JJ00";"  1124.8";"    29.9";"    26.9"
"173";"1050010";"1050010";"PV30  ";"2019JJ00";"  1136.5";"    32.2";"    28.3"
"174";"1050010";"1050010";"PV30  ";"2020JJ00";"  1147.0";"    32.6";"    29.4"
"176";"1050010";"1050010";"PV31  ";"2011JJ00";"   500.9";"    24.5";"    22.2"
"177";"1050010";"1050010";"PV31  ";"2012JJ00";"   504.3";"    24.8";"    22.4"
"178";"1050010";"1050010";"PV31  ";"2013JJ00";"   506.7";"    24.8";"    22.6"
"179";"1050010";"1050010";"PV31  ";"2014JJ00";"   507.0";"    26.0";"    23.3"
"180";"1050010";"1050010";"PV31  ";"2015JJ00";"   509.3";"    26.0";"    23.6"
"181";"1050010";"1050010";"PV31  ";"2016JJ00";"   511.1";"    26.9";"    24.5"
"182";"1050010";"1050010";"PV31  ";"2017JJ00";"   514.9";"    27.7";"    25.0"
"183";"1050010";"1050010";"PV31  ";"2018JJ00";"   517.0";"    27.9";"    25.4"
"184";"1050010";"1050010";"PV31  ";"2019JJ00";"   519.2";"    29.8";"    26.5"
"185";"1050010";"1050010";"PV31  ";"2020JJ00";"   521.2";"    30.3";"    27.5"
"4807";"1050010";"1050015";"NL01  ";"2011JJ00";"  2623.5";"    20.6";"    18.4"
"4808";"1050010";"1050015";"NL01  ";"2012JJ00";"  2673.3";"    20.9";"    18.6"
"4809";"1050010";"1050015";"NL01  ";"2013JJ00";"  2713.4";"    21.0";"    18.6"
"4810";"1050010";"1050015";"NL01  ";"2014JJ00";"  2721.7";"    21.9";"    19.1"
"4811";"1050010";"1050015";"NL01  ";"2015JJ00";"  2782.7";"    22.0";"    19.3"
"4812";"1050010";"1050015";"NL01  ";"2016JJ00";"  2820.4";"    22.7";"    19.9"
"4813";"1050010";"1050015";"NL01  ";"2017JJ00";"  2872.5";"    23.2";"    20.3"
"4814";"1050010";"1050015";"NL01  ";"2018JJ00";"  2910.1";"    23.7";"    20.8"
"4815";"1050010";"1050015";"NL01  ";"2019JJ00";"  2949.8";"    25.1";"    21.8"
"4816";"1050010";"1050015";"NL01  ";"2020JJ00";"  2985.9";"    25.7";"    22.7"
"4818";"1050010";"1050015";"LD01  ";"2011JJ00";"   268.8";"    18.8";"    17.3"
"4819";"1050010";"1050015";"LD01  ";"2012JJ00";"   274.6";"    19.0";"    17.5"
